artist	track
101 Strings	A Disappointing Love Affair With A Desensitized Robot
101 Strings	Barrier X-69
101 Strings	Flameout
101 Strings	Trippin' On Lunar 07
13th Floor Elevators	Baby Blue
13th Floor Elevators	Barnyard Blues
13th Floor Elevators	Dear Dr. Doom
13th Floor Elevators	Earthquake
13th Floor Elevators	I Had To Tell You
13th Floor Elevators	Levitation
13th Floor Elevators	Livin' On
13th Floor Elevators	Nobody To Love
13th Floor Elevators	Postures (Leave Your Body Behind)
13th Floor Elevators	Reverberation
13th Floor Elevators	Roller Coaster
13th Floor Elevators	Rose And The Thorn
13th Floor Elevators	Scarlet And Gold
13th Floor Elevators	She Lives (In A Time Of Her Own)
13th Floor Elevators	Slip Inside This House
13th Floor Elevators	Splash 1
13th Floor Elevators	Street Song
13th Floor Elevators	Tried To Hide
13th Floor Elevators	With You
13th Floor Elevators	You Don't Know (How Young You Are)
13th Floor Elevators	You're Gonna Miss Me
1863 Establishment	Gained For A Fall
49th Parallel	Citizen Freak
49th Parallel	Close The Barn Door
49th Parallel	Labourer
49th Parallel	Lazerander Filcny
5 AM Event	Hungry
8th Wonders (Of The World)	Must Have Your Love
Adrian Pride	Her Name Is Melody
Afterglow	Susie's Gone
A Handful	Does Anybody Know?
A Handful	Dying Daffodil Incident
Alexander Spence	War In Peace
Al Stewart	Turn Into Earth
Amazing Friendly Apple	Water Woman
American Blues	If I Were A Carpenter
Anan	Medena
Anan	Standing Still
Andromeda	I Can Stop The Sun
Andromeda	The Day Of The Change
Andwellas Dream	Felix
Andwellas Dream	The Days Grew Longer For Love
Andy Forray	Dream With Me
A New Generation	Digger
A New Generation	Police Is Here
Angel Pavement	Water Woman
Ant Trip Ceremony	Elaborations
Ant Trip Ceremony	Four In The Morning
Ant Trip Ceremony	Hey Joe
Ant Trip Ceremony	Outskirts
Ant Trip Ceremony	Pale Shades Of Gray
Aorta	Heart Attack
Aorta	Strange
A Passing Fancy	Sounds Silly
Apparition	Apparition
Apple	Buffalo Billycan
Apple-Glass Cyndrom	Going Wrong
Apple-Glass Cyndrom	Someday
Apple	Let's Take A Trip Down The Rhine
Apple	Mr. Jones
Apple	Photograph
Apple	The Otherside
Argosy	Imagine
Arnold Bean	Captain Marvel
Ars Nova	Album In Your Mind
Ars Nova	And How Am I To Know
Ars Nova	Fields Of People
Ars Nova	I Was Once
Ars Nova	Round Once Again
Ars Nova	She Promises Everything
Ars Nova	Sunshine & Shadows
Ars Nova	You Had Better Listen
Art	Love Is Real
Art	What's That Sound (For What It's Worth)
Arzachel	Garden Of Earthly Delights
Arzachel	Queen St. Gang
Astral Projection	Rosa-Lynn
Audience	Banquet
Audience	Belladonna Moonshine
Audience	Heaven Was An Island
Audience	Jackdaw
Audience	Leave It Unsaid
Audience	Man On Box
Audience	Paper Round
Audience	Pleasant Convalescense
Audience	River Boat Queen
Audience	The Going Song
Audience	Too Late I'm Gone
Audience	Waverley Stage Coach
Australian Playboys	Sad
Bagatelle	Everybody Knows
Bakerloo	Driving Backwards
Barry Fantoni	Little Man In A Little Box
Barry Mann	The Young Electric Psychedelic Hippie Flippy Folk And Funky Philosophic Turned On Groovy 12 String Band
Beacon Street Union	My Love Is
Beacon Street Union	Sadie Said No
Bear	Don't Say A Word
Bear	Don't You Ever Want To Think About Them
Bear	I Won't Be Hangin' Round
Bear	So Loose And So Slow
Bear	The Hungry Dogs Of New Mexico
Bedpost Oracle	Chest Fever
Bel Kanto	A Kind Of Break Down
Bentley Road	Kill The Cobra
Bent Wind	Mistify
Bent Wind	Sacred Cows
Bent Wind	The Lions
Bent Wind	Touch Of Red
Big Bird & The Steam Shovel	(What's Happening At) The Psychiatrist
Big Brother & The Holding Company	All Is Loneliness
Big Brother & The Holding Company	Blindman
Big Brother & The Holding Company	Bye, Bye Baby
Big Brother & The Holding Company	Call On Me
Big Brother & The Holding Company	Combination Of The Two
Big Brother & The Holding Company	Down On Me
Big Brother & The Holding Company	Easy Rider
Big Brother & The Holding Company	I Need A Man To Love
Big Brother & The Holding Company	Intruder
Big Brother & The Holding Company	Light Is Faster Than Sound
Big Brother & The Holding Company	Oh, Sweet Mary
Big Brother & The Holding Company	Piece Of My Heart
Bill & Howdy	Misty Morning Confrontation
Billy Nicholls	Being Happy
Billy Nicholls	Girl From New York
Billy Nicholls	It Brings Me Down
Billy Nicholls	Life Is Short
Billy Nicholls	London Social Degree
Billy Nicholls	Portobello Road
Black Swan	Lady Blonde
Black Swan	She Encircles Me
Blind Faith	Can't Find My Way Home
Blind Faith	Sea Of Joy
Blind Faith	Well All Right
Blood, Sweat & Tears	House In The Country
Blood, Sweat & Tears	I Can't Quit Her
Blood, Sweat & Tears	Just One Smile
Blood, Sweat & Tears	Meagan's Gypsy Eyes
Blood, Sweat & Tears	Morning Glory
Blood, Sweat & Tears	My Days Are Numbered
Blood, Sweat & Tears	Sometimes In Winter
Blood, Sweat & Tears	So Much Love/Underture
Blood, Sweat & Tears	The Modern Adventures Of Plato, Diogenes And Freud
Bloomfield, Kooper & Stills	Harvey's Tune
Bloomfield, Kooper & Stills	His Holy Modal Majesty
Bloomfield, Kooper & Stills	It Takes A Lot To Laugh, It Takes A Train To Cry
Bloomfield, Kooper & Stills	Season Of The Witch
Bloomfield, Kooper & Stills	Stop
Blossom Toes	I'll Be Late For Tea
Blossom Toes	Just Above My Hobby Horse's Head
Blossom Toes	Look At Me I'm You
Blossom Toes	Telegram Tuesday
Blossom Toes	The Remarkable Saga Of The Frozen Dog
Blossom Toes	What's It For
Blossom Toes	When The Alarm Clock Rings
Blue Cheer	Babaji (Twilight Raga)
Blue Cheer	Feathers From Your Tree
Blue Cheer	Good Times Are So Hard To Find
Blue Cheer	I'm The Light
Blue Cheer	Out Of Focus
Blue Cheer	Peace Of Mind
Blue Cheer	Summertime Blues
Blues Image	Ride Captain Ride
Blues Magoos	Chicken Wire Lady
Blues Magoos	Gotta Get Away
Blues Magoos	I Can Move A Mountain
Blues Magoos	There's A Chance We Can Make It
Blues Magoos	(We Ain't Got) Nothin' Yet
Blues Messengers	High Wednesday (I'll Stay With You)
Bobak, Jons, Malone	Burning The Weed
Bobak, Jons, Malone	House Of Many Windows
Bobak, Jons, Malone	On A Meadow Lea
Bob Dylan	It's Alright, Ma (I'm Only Bleeding)
Bob Dylan	Lay Lady Lay
Bob Dylan	Like A Rolling Stone
Bob Dylan	Rainy Day Women #12 & 35
Bob Dylan	Subterranean Homesick Blues
Bob Grimm	It Never Stays The Same
Bob Ray	Personal Movie
Bob Ray	Smog Song
Bob Seger & The Last Heard	East Side Sound
Bob Seger & The Last Heard	East Side Story
Bob Smith	Don't Tell Lady Tonight
Bodast	1000 Years
Bodast	Nether Street
Bodast	Nothing To Cry For
Bodast	Tired Towers
Boeing Duveen & The Beautiful Soup	Jabberwock
Bo Grumpus	Travelin' In The Dark
Bow Street Runners	Another Face
Brain Police	Adler
Brain Police	Find Me A Moment
Brain Police	Getting Too Much Higher
Branch Estate	The Love We Share
Brewer & Shipley	An Incredible State Of Affairs
Brewer & Shipley	Boomerang
Brewer & Shipley	Don't Want To Die In Georgia
Brewer & Shipley	Keeper Of The Keys
Brewer & Shipley	She Thinks She's A Woman
Brewer & Shipley	Time And Changes
Brewer & Shipley	Truly Right
Brian Parrish	In Good Time (Love Chant)
Bubble Puppy	Beginning
Bubble Puppy	Elizabeth
Bubble Puppy	Gathering Of Promises
Bubble Puppy	Hot Smoke And Sasafrass
Bubble Puppy	Hurry Sundown
Bubble Puppy	I've Got To Reach You
Bubble Puppy	Keep Your Mouth Shut Once In A While
Bubble Puppy	Lonely
Bubble Puppy	Road To St. Stephen's
Buffalo Springfield	A Child's Claim To Fame
Buffalo Springfield	Baby Don't Scold Me
Buffalo Springfield	Bluebird
Buffalo Springfield	Broken Arrow
Buffalo Springfield	Buffalo Stomp (Raga)
Buffalo Springfield	Burned
Buffalo Springfield	Do I Have To Come Right Out And Say It
Buffalo Springfield	Down Down Down
Buffalo Springfield	Down To The Wire
Buffalo Springfield	Everybody's Wrong
Buffalo Springfield	Everydays
Buffalo Springfield	Expecting To Fly
Buffalo Springfield	Falcon Lake (Ash On The Floor)
Buffalo Springfield	Flying On The Ground Is Wrong
Buffalo Springfield	For What It's Worth
Buffalo Springfield	Four Days Gone
Buffalo Springfield	Go And Say Goodbye
Buffalo Springfield	Hung Upside Down
Buffalo Springfield	I Am A Child
Buffalo Springfield	Kahuna Sunset
Buffalo Springfield	Kind Woman
Buffalo Springfield	Leave
Buffalo Springfield	Merry-Go-Round
